clutch, shifter, don, sho, last
sky, light, uiuc, rights, bright
car, ford, feel, nice, probe
station, launch, shuttle, option, cost
science, information, internet, spacecraft, part
writes, people, don, want, apr
engine, power, driving, drive, torque
bill, moon, george, blah, support
cars, find, article, heard, diesels
article, mustang, price, rear, cars
book, low, years, dealer, auto
oil, time, service, lights, come
mission, hst, pat, mass, access
make, insurance, good, geico, high
edu, gif, uci, incoming, ics
space, nasa, sci, idea, orbit
article, edu, writes, apr, don
henry, toronto, spencer, edu, zoo
edu, such, system, oort, satellite
etc, large, planet, planets, makes
